Name,Razon_Social__c,Segmento_por_tipo_de_cliente__c,Segmento_por_frecuencia_de_compra__c,Direcciones_puntos_de_venta__c,Región,Phone,Industria,BillingStreet,BillingCity,BillingState,Region_de_facturacion__c,Region_de_envio__c,Ciudad_facturacion__c,Ciudad_envio__c
Sociedad San Diego y Cia Ltda,Sociedad San Diego y Cia Ltda,TRADICIONAL,FIEL,Cabrero,Del Bíobío,933279330,Alimentación Saludable,zañartu 140,Cabrero,Cabrero,Del Bíobío,Del Bíobío,Cabrero,Cabrero
TERRA GOURMET SPA,TERRA GOURMET SPA,TRADICIONAL,FIEL,Lautaro,De La Araucanía,988063634,Alimentación Saludable,"PEDRO DE VALDIVIA 271, B y C",Lautaro,Lautaro,De La Araucanía,De La Araucanía,Lautaro,Lautaro
Tienda Granata SPA,Tienda Granata SPA,TRADICIONAL,OCASIONAL,Santiago,Metropolitana de Santiago,56 9 7140 5273,Alimentación Saludable,"Avenida Chicureo 14500, local 17",Colina,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
Tostaduria Quezada limitada,Tostaduria Quezada limitada,TRADICIONAL,FIEL,Laja,Del Bíobío,998193961,Alimentación Saludable,pasaje lengua 6137 foresta San Sebastián,San Pedro de la Paz,Concepción,Del Bíobío,Del Bíobío,Concepción,Concepción
Tostaduria R&Y LTDA,Tostaduria R&Y LTDA,TRADICIONAL,OCASIONAL,Parral,Del Maule,962872481,Alimentación Saludable,pasaje 12 la foresta San Sebastián,San Pedro de la paz,San Pedro de la paz,Del Bíobío,Del Bíobío,San Pedro de la paz,San Pedro de la paz
Veggie shop patagonia SpA,Veggie shop patagonia SpA,TRADICIONAL,NUEVO,Coihaique,De Aisén del Gral. C. Ibáñez del Campo,942415570,Alimentación Saludable,"Portales población las nieves block 5 depto 22 pasaje 3,",coihaique,Coyhaique,De Aisén del Gral. C. Ibáñez del Campo,De Aisén del Gral. C. Ibáñez del Campo,Coyhaique,Coyhaique
Vive India SPA,Vive India SPA,TRADICIONAL,NUEVO,Santiago,Metropolitana de Santiago,,Alimentación Saludable,"Lo Barnechea 999, Lo Barnechea",Lo Barnechea,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
Banqueteria Giannina Reghezza Cea E.I.R.L,Banqueteria Giannina Reghezza Cea E.I.R.L,TRADICIONAL,OCASIONAL,Santiago,Metropolitana de Santiago,56998274713,Cafetería/Restaurante,"Albacete 4420, depto 135",Las Condes,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
"BAYONA,MARTINEZ LIMITADA","BAYONA,MARTINEZ LIMITADA",TRADICIONAL,FIEL,Santiago,Metropolitana de Santiago,952557459,Cafetería/Restaurante,San Antonio 389 local 3,Santiago,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
CAFE CENTRAL SPA,CAFE CENTRAL SPA,TRADICIONAL,NUEVO,Santiago,Metropolitana de Santiago,+56 9 9779 9927,Cafetería/Restaurante,"Manuel Bulnes 442, Temuco",Temuco,Temuco,De La Araucanía,De La Araucanía,Temuco,Temuco
cocina con cariño spa,cocina con cariño spa,TRADICIONAL,NUEVO,Concepción,Del Bíobío,,Cafetería/Restaurante,"serrano 354, concepcion, region del biobio",Concepción,Concepcion,Del Bíobío,Del Bíobío,Concepcion,Concepcion
COFFEE JAM LIMITADA,COFFEE JAM LIMITADA,TRADICIONAL,OCASIONAL,Concepción,Del Bíobío,956692105,Cafetería/Restaurante,LOS LIRIOS DR. NICANOR ALENDEL 955,CONCEPCIÓN,CONCEPCIÓN,Del Bíobío,Del Bíobío,CONCEPCIÓN,CONCEPCIÓN
DISFRUTA AL NATURAL SPA,DISFRUTA AL NATURAL SPA,TRADICIONAL,SPOT,Santiago,Metropolitana de Santiago,,Cafetería/Restaurante,Huelen 10 Oficina 402,Providencia,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
DJ LTDA,DJ LTDA,TRADICIONAL,OCASIONAL,Santiago,Metropolitana de Santiago,22641012,Cafetería/Restaurante,Padre Mariano 201 Local 2,Providencia,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
EVENTOS Y CAFETERIA COFI LIMITADA,EVENTOS Y CAFETERIA COFI LIMITADA,ESTRATÉGICO,FIEL,Santiago,Metropolitana de Santiago,,Cafetería/Restaurante,AV. Pedro de Valdivia N°0180,Providencia,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
Ge & Fe Limitada spa,Ge & Fe Limitada spa,TRADICIONAL,OCASIONAL,Santiago,Metropolitana de Santiago,56990786939,Cafetería/Restaurante,Román Díaz 945,Providencia,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
GISER S.A.,GISER S.A.,VIP,FIEL,Santiago,Metropolitana de Santiago,2 2706 40 70,Cafetería/Restaurante,Roger de Flor 2736 81,Las Condes,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
HUERTO SUR CAFETERIAS LIMITADA,HUERTO SUR CAFETERIAS LIMITADA,ESTRATÉGICO,FIEL,Santiago,Metropolitana de Santiago,+56 9 9342 4098,Cafetería/Restaurante,AV Las Condes 11.700,Vitacura,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
Lobo Surf & Espresso SpA,Lobo Surf & Espresso SpA,TRADICIONAL,OCASIONAL,Concepción,Del Bíobío,77066453,Cafetería/Restaurante,"Ainavillo 625, depto 2",Concepción,Concepción,Del Bíobío,Del Bíobío,Concepción,Concepción
Ornella Sandoval Montesinos,Ornella Sandoval Montesinos,TRADICIONAL,OCASIONAL,Cabrero,Del Bíobío,976015066,Cafetería/Restaurante,esmeralda 201-D,Cabrero,Cabrero,Del Bíobío,Del Bíobío,Cabrero,Cabrero
Pasteleria Garrido spa,Pasteleria Garrido spa,TRADICIONAL,OCASIONAL,Angol,De La Araucanía,452463904,Cafetería/Restaurante,Lautaro 144,Angol,Santiago,De La Araucanía,De La Araucanía,Santiago,Santiago
Rosa Ascención Bustos Henriquez,Rosa Ascención Bustos Henriquez,TRADICIONAL,OCASIONAL,Osorno,De Los Lagos,977551725,Cafetería/Restaurante,Hanga Roa 826,Osorno,Santiago,De Los Lagos,De Los Lagos,Santiago,Santiago
ROZAS Y BORNES SPA,ROZAS Y BORNES SPA,TRADICIONAL,OCASIONAL,Santiago,Metropolitana de Santiago,56956945088,Cafetería/Restaurante,Av. Los Leones 419,Providencia,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
Servicios de Alimentación Marisela Callejas EIRL 76.458.214-4,Servicios de Alimentación Marisela Callejas EIRL 76.458.214-4,TRADICIONAL,FIEL,Santiago,Metropolitana de Santiago,56964078264,Cafetería/Restaurante,Valles de Huinganal Parcela 96,Limache,Limache,De Valparaíso,De Valparaíso,Limache,Limache
SERVICIOS GASTRONOMICOS GOFA LIMITADA,SERVICIOS GASTRONOMICOS GOFA LIMITADA,TRADICIONAL,OCASIONAL,Santiago,Metropolitana de Santiago,,Cafetería/Restaurante,Nueva Tajamar 481 1403,Las Condes,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
Smart polo spa,Smart polo spa,TRADICIONAL,OCASIONAL,Zapallar,De Valparaíso,56984480715,Cafetería/Restaurante,"fundo Cachagua sin numero,Zapallar, Valparaiso",Zapallar,Valparaiso,De Valparaíso,De Valparaíso,Valparaiso,Valparaiso
SOC DE EDUCACION Y DEPORTES PINAMAR LIMITADA,SOC DE EDUCACION Y DEPORTES PINAMAR LIMITADA,TRADICIONAL,NUEVO,Santiago,Metropolitana de Santiago,993384868,Cafetería/Restaurante,MONSENOR ESCRIV A DE BALAGUER 5000,Vitacura,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
Sociedad Bustorf Larsen Cia Ltda,Sociedad Bustorf Larsen Cia Ltda,ESTRATÉGICO,FIEL,Santiago,Metropolitana de Santiago,569 8232 4148,Cafetería/Restaurante,Agustinas 1035 Local 2,Santiago,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
Sociedad Comercial del Sur Cafe Limitada,Sociedad Comercial del Sur Cafe Limitada,TRADICIONAL,SPOT,,,995111353,Cafetería/Restaurante, Av Providencia 2538 Local 36,SANTIAGO,SANTIAGO,,,,
SOCIEDAD COMERCIAL LA RIOJA LIMITADA,SOCIEDAD COMERCIAL LA RIOJA LIMITADA,TRADICIONAL,FIEL,Concepción,Del Bíobío,9 9 8228917,Cafetería/Restaurante,Arturo Prat 199 - Local 6,Concepción,CONCEPCION,Del Bíobío,Del Bíobío,CONCEPCION,CONCEPCION
SOCIEDAD LATE INVERSIONES LIMITADA,SOCIEDAD LATE INVERSIONES LIMITADA,TRADICIONAL,FIEL,Chillán,De Ñuble,56981493023,Cafetería/Restaurante,ARAUCO 617,chillán,CHILLAN,De Ñuble,De Ñuble,CHILLAN,CHILLAN
ASESORÍAS INTEGRALES EN NUTRICIÓN Y VIDA SALUDABLE R&P LIMITADA,ASESORÍAS INTEGRALES EN NUTRICIÓN Y VIDA SALUDABLE R&P LIMITADA,TRADICIONAL,OCASIONAL,La Cruz,De Valparaíso,936292448,Consulta de Salud,AVENIDA 21 DE MAYO #5500 LOCAL 3,La Cruz,La Cruz,De Valparaíso,De Valparaíso,La Cruz,La Cruz
BENEFIT SPA,BENEFIT SPA,TRADICIONAL,NUEVO,Santiago,Metropolitana de Santiago,942439748,Consulta de Salud,Lo Fontecilla 201 oficina 633 Torre B,Las Condes,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
BRELLENTHIN Y SAEZ SERVICIOS MÉDICOS Y DE SALUD INTEGRAL SPA,BRELLENTHIN Y SAEZ SERVICIOS MÉDICOS Y DE SALUD INTEGRAL SPA,TRADICIONAL,NUEVO,Temuco,De La Araucanía,56977948076,Consulta de Salud,Juvencio Valle 2021,Temuco,Temuco,De La Araucanía,De La Araucanía,Temuco,Temuco
KINESOLUCIONES LIMITADA,KINESOLUCIONES LIMITADA,TRADICIONAL,FIEL,Talcahuano,Del Bíobío,961280255,Consulta de Salud,LOS LIRIOS 4468,Talcahuano,Talcahuano,Del Bíobío,Del Bíobío,Talcahuano,Talcahuano
Lahsen Medic-Car Spa,Lahsen Medic-Car Spa,TRADICIONAL,OCASIONAL,Santiago,Metropolitana de Santiago,9 7888 0862,Consulta de Salud,"Rodrigo de Araya 2837, Macul",Macul,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
Sociedad vida salud Ltda,Sociedad vida salud Ltda,TRADICIONAL,OCASIONAL,Concepción,Del Bíobío,998405594,Consulta de Salud,ohiggins 882 local 23 galería San Nicolás,Concepción,Concepción,Del Bíobío,Del Bíobío,Concepción,Concepción
Actina3fit Spa,Actina3fit Spa,TRADICIONAL,NUEVO,Curicó,Del Maule,,Deportivo/Gimnasio,"Mauricio Rugendas 350 Don Ambrosio 350, Curicó",Curicó,Curicó,Del Maule,Del Maule,Curicó,Curicó
BODY STONE SPA,BODY STONE SPA,TRADICIONAL,NUEVO,Santiago,Metropolitana de Santiago,,Deportivo/Gimnasio,"Av Providencia 1208 , Dpto 1603",Providencia,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
BODYCHANGE SUPLEMENTOS IVAN FIGUEROA EIRL,BODYCHANGE SUPLEMENTOS IVAN FIGUEROA EIRL,TRADICIONAL,NUEVO,Los Andes,De Valparaíso,,Deportivo/Gimnasio,"SAN LORENZO 177, LOS ANDES",Los Andes,Los Andes,De Valparaíso,De Valparaíso,Los Andes,Los Andes
CENTRO DE ENTRENAMIENTOS Y SERVICIOS FRANCHESCA GONZÁLEZ E.I.R.L.,CENTRO DE ENTRENAMIENTOS Y SERVICIOS FRANCHESCA GONZÁLEZ E.I.R.L.,TRADICIONAL,OCASIONAL,Talca,Del Maule,56946630996,Deportivo/Gimnasio,AVENIDA CANCHA RAYADA 1824 LC3,TALCA,TALCA,Del Maule,Del Maule,TALCA,TALCA
Centro Juvenil Agrupación BMX Freestyle Peñalolen,Centro Juvenil Agrupación BMX Freestyle Peñalolen,TRADICIONAL,FIEL,Santiago,Metropolitana de Santiago,56 9 4856 2389,Deportivo/Gimnasio,Río Lauca 1513 Peñalolén Santiago,Peñalolén,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
CLASS NUTRITION CHILE SPA,CLASS NUTRITION CHILE SPA,TRADICIONAL,OCASIONAL,Santiago,Metropolitana de Santiago,982190698,Deportivo/Gimnasio,"Alonso de cordoba 5870 1109 Santiago, Chile LAS CONDES",Las Condes,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
Comercial Georgette Verónica Pavez Donoso EIRL,Comercial Georgette Verónica Pavez Donoso EIRL,TRADICIONAL,OCASIONAL,Valparaíso,De Valparaíso,56 9 8427 4335,Deportivo/Gimnasio,Cristobal Colon 1262 Villa Fundadores,Valparaíso,Valparaiso,De Valparaíso,De Valparaíso,Valparaiso,Valparaiso
Comercializadora R14 SpA,Comercializadora R14 SpA,TRADICIONAL,NUEVO,Chiguayante,Del Bíobío,,Deportivo/Gimnasio,"Pinares 579 #4 Chiguayante, concepcion, region del bio bio",Chiguayante,Concepción,Del Bíobío,Del Bíobío,Concepción,Concepción
DEPORTES Y OCIO CLAUDIO GALVEZ E.I.R.L,DEPORTES Y OCIO CLAUDIO GALVEZ E.I.R.L,TRADICIONAL,OCASIONAL,Santiago,Metropolitana de Santiago,56 9 9332 8160,Deportivo/Gimnasio,Italia 1571,Ñuñoa,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
Dobbs & compañía Limitada,Dobbs & compañía Limitada,TRADICIONAL,OCASIONAL,Santiago,Metropolitana de Santiago,56 9 5468 8106,Deportivo/Gimnasio,Condel 1200,Providencia,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
Eduardo valenzuela rocha,Eduardo valenzuela rocha,TRADICIONAL,OCASIONAL,Concepción,Del Bíobío,9 40276019,Deportivo/Gimnasio,pedro lira 1474 los canelos,San Pedro de la Paz,San Pedro de la Paz,Del Bíobío,Del Bíobío,San Pedro de la Paz,San Pedro de la Paz
Equipamiento para deportes extremos Spa.,Equipamiento para deportes extremos Spa.,TRADICIONAL,OCASIONAL,Santiago,Metropolitana de Santiago,56982715931,Deportivo/Gimnasio,Avenida Salvador 844,Providencia,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
EVENTOS DEPORTIVOS BEFUT LIMITADA,EVENTOS DEPORTIVOS BEFUT LIMITADA,TRADICIONAL,NUEVO,Santiago,Metropolitana de Santiago,,Deportivo/Gimnasio,Pasaje Oaxaca 9464,La Florida,Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Santiago,Santiago
